timestamp	step	train/acc
1657836929275	0	0.9020333290100098
1657836938542	1	0.9570666551589966
1657836947789	2	0.9680333137512207
1657836957073	3	0.9740999937057495
1657836966206	4	0.9780166745185852
1657836975384	5	0.9800333380699158
1657836984490	6	0.9826833605766296
1657836993610	7	0.9843999743461609
1657837002810	8	0.985883355140686
1657837012080	9	0.98580002784729
1657837021247	10	0.9886000156402588
1657837030343	11	0.9885666370391846
1657837039352	12	0.9900333285331726
1657837048411	13	0.9899500012397766
1657837057428	14	0.9904833436012268
1657837066506	15	0.9914000034332275
1657837075600	16	0.9922333359718323
1657837084657	17	0.9925500154495239
1657837093720	18	0.9926499724388123
1657837102773	19	0.9934333562850952
1657837111831	20	0.9935166835784912
1657837120859	21	0.9933666586875916
1657837129885	22	0.9939833283424377
1657837139002	23	0.9940500259399414
1657837148155	24	0.9945666790008545
1657837157282	25	0.9948166608810425
1657837166439	26	0.994866669178009
1657837175457	27	0.9948166608810425
1657837184525	28	0.9949166774749756
1657837193550	29	0.9954166412353516
1657837202596	30	0.9960500001907349
1657837211659	31	0.9954166412353516
1657837220736	32	0.9955999851226807
1657837229842	33	0.9961166381835938
1657837238929	34	0.9954833388328552
1657837248067	35	0.9954333305358887
1657837257211	36	0.996066689491272
1657837266273	37	0.9958333373069763
1657837275406	38	0.9962666630744934
1657837284516	39	0.995983362197876
1657837293554	40	0.9961000084877014
1657837302449	41	0.9967833161354065
1657837311389	42	0.996233344078064
1657837320327	43	0.9962666630744934
1657837329301	44	0.9963333606719971
1657837338268	45	0.9971166849136353
1657837347286	46	0.9967666864395142
1657837356169	47	0.9969833493232727
1657837365045	48	0.9967333078384399
1657837373923	49	0.9972000122070312
1657837382857	50	0.9970499873161316
1657837391782	51	0.9968833327293396
1657837400759	52	0.9973833560943604
1657837409653	53	0.9966166615486145
1657837418510	54	0.9971500039100647
1657837427400	55	0.9972833395004272
1657837436404	56	0.996666669845581
1657837445498	57	0.9968166947364807
1657837454494	58	0.9970499873161316
1657837463487	59	0.9975500106811523
1657837472422	60	0.9974499940872192
1657837481316	61	0.9972166419029236
1657837490178	62	0.9970999956130981
1657837499098	63	0.9971500039100647
1657837508061	64	0.9976166486740112
1657837517036	65	0.9970499873161316
1657837526031	66	0.9976000189781189
1657837534967	67	0.9976666569709778
1657837543960	68	0.9979000091552734
1657837553001	69	0.9973000288009644
1657837561912	70	0.9974666833877563
1657837570841	71	0.9976833462715149
1657837579774	72	0.9978166818618774
1657837588660	73	0.9971833229064941
1657837597550	74	0.9975833296775818
1657837606540	75	0.9977166652679443
1657837615466	76	0.9975666403770447
1657837624449	77	0.9978500008583069
1657837633370	78	0.9981499910354614
1657837642200	79	0.9980166554450989
1657837651126	80	0.997866690158844
1657837660002	81	0.998033344745636
1657837668990	82	0.9981499910354614
1657837678011	83	0.9979166388511658
1657837687088	84	0.9979000091552734
1657837696130	85	0.9979333281517029
1657837705131	86	0.9978333115577698
1657837714128	87	0.9984166622161865
1657837723177	88	0.9980833530426025
1657837732243	89	0.9980166554450989
1657837741308	90	0.9977499842643738
1657837750356	91	0.9977666735649109
1657837759189	92	0.997866690158844
1657837768114	93	0.9981333613395691
1657837777009	94	0.9979666471481323
1657837785928	95	0.9980000257492065
1657837794827	96	0.9982666373252869
1657837803762	97	0.998116672039032
1657837812750	98	0.9981333613395691
1657837821670	99	0.9981666803359985
