timestamp	step	train/loss
1657836929275	0	0.3328694999217987
1657836938541	1	0.14005985856056213
1657836947789	2	0.10296656936407089
1657836957072	3	0.08361508697271347
1657836966205	4	0.06983505189418793
1657836975384	5	0.06224174052476883
1657836984490	6	0.05399344861507416
1657836993610	7	0.04878181964159012
1657837002810	8	0.04370417073369026
1657837012079	9	0.04064778611063957
1657837021246	10	0.03594502806663513
1657837030343	11	0.033959951251745224
1657837039351	12	0.030401723459362984
1657837048410	13	0.029667338356375694
1657837057428	14	0.026461847126483917
1657837066505	15	0.02527601458132267
1657837075599	16	0.022189341485500336
1657837084657	17	0.021908022463321686
1657837093719	18	0.02150525525212288
1657837102773	19	0.020599670708179474
1657837111830	20	0.01888490468263626
1657837120858	21	0.019765840843319893
1657837129884	22	0.017850618809461594
1657837139001	23	0.01736140251159668
1657837148154	24	0.01544482633471489
1657837157282	25	0.0157348420470953
1657837166438	26	0.01533480454236269
1657837175457	27	0.014898087829351425
1657837184524	28	0.015008856542408466
1657837193549	29	0.012995691038668156
1657837202596	30	0.01206305529922247
1657837211659	31	0.013257090002298355
1657837220735	32	0.01228557713329792
1657837229841	33	0.011792842298746109
1657837238928	34	0.012974049896001816
1657837248066	35	0.01224860642105341
1657837257211	36	0.011754204519093037
1657837266273	37	0.012145983055233955
1657837275406	38	0.01107031013816595
1657837284515	39	0.01136024110019207
1657837293553	40	0.01119603868573904
1657837302449	41	0.009970057755708694
1657837311389	42	0.011071532033383846
1657837320326	43	0.01051783561706543
1657837329301	44	0.010482575744390488
1657837338267	45	0.008693007752299309
1657837347286	46	0.00860530510544777
1657837356169	47	0.009279858320951462
1657837365045	48	0.008748035877943039
1657837373922	49	0.007644624914973974
1657837382857	50	0.00797682348638773
1657837391781	51	0.008503047749400139
1657837400758	52	0.0076041193678975105
1657837409652	53	0.00895783957093954
1657837418510	54	0.008387535810470581
1657837427400	55	0.0073264106176793575
1657837436403	56	0.008764082565903664
1657837445497	57	0.0086985994130373
1657837454494	58	0.00770422862842679
1657837463487	59	0.00699349632486701
1657837472422	60	0.007402474991977215
1657837481316	61	0.007693895138800144
1657837490178	62	0.007963028736412525
1657837499097	63	0.007714141625910997
1657837508061	64	0.007312928792089224
1657837517036	65	0.007905784994363785
1657837526031	66	0.007056746631860733
1657837534967	67	0.006784429308027029
1657837543959	68	0.006144481245428324
1657837553001	69	0.007897372357547283
1657837561911	70	0.007159431464970112
1657837570840	71	0.006450430490076542
1657837579774	72	0.006089319940656424
1657837588659	73	0.007930101826786995
1657837597549	74	0.007372492924332619
1657837606539	75	0.006506530102342367
1657837615465	76	0.007291677873581648
1657837624449	77	0.0064491285011172295
1657837633369	78	0.0057272231206297874
1657837642199	79	0.006127829197794199
1657837651125	80	0.006088117603212595
1657837660002	81	0.0056834896095097065
1657837668990	82	0.00584759283810854
1657837678011	83	0.0061029186472296715
1657837687087	84	0.006133388727903366
1657837696129	85	0.006460871547460556
1657837705131	86	0.006539361551403999
1657837714127	87	0.004780835006386042
1657837723177	88	0.005958876106888056
1657837732242	89	0.005946721415966749
1657837741308	90	0.005728946067392826
1657837750355	91	0.006438843440264463
1657837759189	92	0.006060326937586069
1657837768113	93	0.005259931553155184
1657837777008	94	0.006158847361803055
1657837785928	95	0.005744248162955046
1657837794826	96	0.005077221896499395
1657837803761	97	0.005699980538338423
1657837812749	98	0.005396154243499041
1657837821670	99	0.005288879852741957
